"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 13 09:25:50 GMT 2022","Wed Jul 13 09:26:59 GMT 2022","69243","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"skipped","Wed Jul 13 09:25:42 GMT 2022","Wed Jul 13 09:33:43 GMT 2022","481728","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"skipped","Wed Jul 13 09:25:42 GMT 2022","Wed Jul 13 09:33:43 GMT 2022","481790","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"passed","Wed Jul 13 09:25:42 GMT 2022","Wed Jul 13 09:26:02 GMT 2022","20672","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"passed","Wed Jul 13 09:25:42 GMT 2022","Wed Jul 13 09:26:07 GMT 2022","25124","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"passed","Wed Jul 13 09:25:50 GMT 2022","Wed Jul 13 09:26:53 GMT 2022","63124","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"skipped","Wed Jul 13 09:25:42 GMT 2022","Wed Jul 13 09:25:42 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"skipped","Wed Jul 13 09:25:50 GMT 2022","Wed Jul 13 09:25:50 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"passed","Wed Jul 13 09:25:50 GMT 2022","Wed Jul 13 09:26:48 GMT 2022","58227","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"skipped","Wed Jul 13 09:25:42 GMT 2022","Wed Jul 13 09:33:43 GMT 2022","481699","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Wed Jul 13 09:25:42 GMT 2022","Wed Jul 13 09:25:47 GMT 2022","5815","","Operator Suite OS","","Operator Suite OS","","[SynchronizedBeforeSuite]",""
"passed","Wed Jul 13 09:25:50 GMT 2022","Wed Jul 13 09:26:30 GMT 2022","40760","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"passed","Wed Jul 13 09:25:42 GMT 2022","Wed Jul 13 09:26:07 GMT 2022","25236","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"passed","Wed Jul 13 09:25:42 GMT 2022","Wed Jul 13 09:26:06 GMT 2022","24118","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"skipped","Wed Jul 13 09:25:42 GMT 2022","Wed Jul 13 09:25:42 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Wed Jul 13 09:25:42 GMT 2022","Wed Jul 13 09:26:02 GMT 2022","20918","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"passed","Wed Jul 13 09:25:50 GMT 2022","Wed Jul 13 09:27:16 GMT 2022","86823","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"passed","Wed Jul 13 09:25:42 GMT 2022","Wed Jul 13 09:26:05 GMT 2022","23840","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"passed","Wed Jul 13 09:25:50 GMT 2022","Wed Jul 13 09:27:08 GMT 2022","78807","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"skipped","Wed Jul 13 09:25:42 GMT 2022","Wed Jul 13 09:33:42 GMT 2022","480987","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
