"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jul 10 09:08:27 GMT 2022","Sun Jul 10 09:08:27 GMT 2022","329","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"skipped","Sun Jul 10 09:08:27 GMT 2022","Sun Jul 10 09:08:27 GMT 2022","328","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"skipped","Sun Jul 10 09:08:35 GMT 2022","Sun Jul 10 09:08:35 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"skipped","Sun Jul 10 09:08:27 GMT 2022","Sun Jul 10 09:08:27 GMT 2022","330","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"passed","Sun Jul 10 09:08:35 GMT 2022","Sun Jul 10 09:12:59 GMT 2022","264375","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"skipped","Sun Jul 10 09:08:27 GMT 2022","Sun Jul 10 09:08:27 GMT 2022","378","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"passed","Sun Jul 10 09:08:35 GMT 2022","Sun Jul 10 09:09:53 GMT 2022","78742","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"passed","Sun Jul 10 09:08:35 GMT 2022","Sun Jul 10 09:09:06 GMT 2022","31458","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"passed","Sun Jul 10 09:08:27 GMT 2022","Sun Jul 10 09:09:44 GMT 2022","77642","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Sun Jul 10 09:08:27 GMT 2022","Sun Jul 10 09:09:04 GMT 2022","37791","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"passed","Sun Jul 10 09:08:35 GMT 2022","Sun Jul 10 09:08:42 GMT 2022","7836","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"skipped","Sun Jul 10 09:08:27 GMT 2022","Sun Jul 10 09:08:27 GMT 2022","331","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"passed","Sun Jul 10 09:08:27 GMT 2022","Sun Jul 10 09:08:36 GMT 2022","9877","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"passed","Sun Jul 10 09:08:27 GMT 2022","Sun Jul 10 09:09:03 GMT 2022","36605","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"passed","Sun Jul 10 09:08:35 GMT 2022","Sun Jul 10 09:09:21 GMT 2022","46720","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ ready members status [hz, slow]",""
"passed","Sun Jul 10 09:08:27 GMT 2022","Sun Jul 10 09:08:47 GMT 2022","20272","","Operator Suite OS","","Operator Suite OS","","[SynchronizedBeforeSuite]",""
"passed","Sun Jul 10 09:08:35 GMT 2022","Sun Jul 10 09:15:55 GMT 2022","440059","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"skipped","Sun Jul 10 09:08:27 GMT 2022","Sun Jul 10 09:08:27 GMT 2022","220","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Sun Jul 10 09:08:27 GMT 2022","Sun Jul 10 09:08:27 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[AfterSuite]",""
"passed","Sun Jul 10 09:08:27 GMT 2022","Sun Jul 10 09:11:08 GMT 2022","161155","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"skipped","Sun Jul 10 09:08:27 GMT 2022","Sun Jul 10 09:08:27 GMT 2022","329","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Sun Jul 10 09:08:27 GMT 2022","Sun Jul 10 09:08:53 GMT 2022","26980","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"passed","Sun Jul 10 09:08:35 GMT 2022","Sun Jul 10 09:10:56 GMT 2022","141958","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Sun Jul 10 09:08:27 GMT 2022","Sun Jul 10 09:11:49 GMT 2022","202951","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Sun Jul 10 09:08:27 GMT 2022","Sun Jul 10 09:08:27 GMT 2022","331","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"skipped","Sun Jul 10 09:08:27 GMT 2022","Sun Jul 10 09:08:27 GMT 2022","334","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"passed","Sun Jul 10 09:08:35 GMT 2022","Sun Jul 10 09:09:11 GMT 2022","36700","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
