"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:18:48 GMT 2022","7830","","Controller Suite","","Controller Suite","","[SynchronizedBeforeSuite]",""
"skipped","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:18:41 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"skipped","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:18:41 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"passed","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:19:12 GMT 2022","31269","","Controller Suite","","Controller Suite","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"passed","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:19:21 GMT 2022","40689","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"passed","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:19:11 GMT 2022","30876","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config with Persistence should fail when persistence of Map CR and Hazelcast CR do not match [map_persistence, fast]",""
"skipped","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:18:41 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"skipped","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:18:41 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"passed","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:19:17 GMT 2022","36358","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"passed","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:19:28 GMT 2022","47449","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
"passed","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:18:41 GMT 2022","0","","Controller Suite","","Controller Suite","","[AfterSuite]",""
"passed","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:20:20 GMT 2022","99146","","Controller Suite","","Controller Suite","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:20:16 GMT 2022","95629","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:20:12 GMT 2022","91624","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"failed","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:29:32 GMT 2022","651795","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"passed","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:19:16 GMT 2022","35032","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"passed","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:19:20 GMT 2022","39459","","Controller Suite","","Controller Suite","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:20:04 GMT 2022","83764","","Controller Suite","","Controller Suite","","[It] Hazelcast Hazelcast member status should update HZ ready members status [hz, slow]",""
"passed","Thu Jul 07 21:18:41 GMT 2022","Thu Jul 07 21:20:46 GMT 2022","125468","","Controller Suite","","Controller Suite","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
