"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jul 11 09:08:53 GMT 2022","Mon Jul 11 09:08:53 GMT 2022","266","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"passed","Mon Jul 11 09:18:53 GMT 2022","Mon Jul 11 09:19:24 GMT 2022","31654","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"passed","Mon Jul 11 09:18:53 GMT 2022","Mon Jul 11 09:19:29 GMT 2022","36611","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Mon Jul 11 09:18:53 GMT 2022","Mon Jul 11 09:19:14 GMT 2022","21391","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"passed","Mon Jul 11 09:18:53 GMT 2022","Mon Jul 11 09:19:27 GMT 2022","34745","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"passed","Mon Jul 11 09:08:53 GMT 2022","Mon Jul 11 09:09:20 GMT 2022","27617","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should fail when persistence of Map CR and Hazelcast CR do not match [map_persistence, fast]",""
"failed","Mon Jul 11 09:08:53 GMT 2022","Mon Jul 11 09:26:53 GMT 2022","1080237","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"passed","Mon Jul 11 09:08:53 GMT 2022","Mon Jul 11 09:09:00 GMT 2022","7635","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"passed","Mon Jul 11 09:18:53 GMT 2022","Mon Jul 11 09:19:21 GMT 2022","28527","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"passed","Mon Jul 11 09:18:53 GMT 2022","Mon Jul 11 09:19:23 GMT 2022","30557","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"skipped","Mon Jul 11 09:08:53 GMT 2022","Mon Jul 11 09:08:53 GMT 2022","260","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"passed","Mon Jul 11 09:18:53 GMT 2022","Mon Jul 11 09:19:15 GMT 2022","22360","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"skipped","Mon Jul 11 09:08:53 GMT 2022","Mon Jul 11 09:08:53 GMT 2022","261","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"passed","Mon Jul 11 09:18:53 GMT 2022","Mon Jul 11 09:21:49 GMT 2022","176760","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Mon Jul 11 09:08:53 GMT 2022","Mon Jul 11 09:11:00 GMT 2022","127882","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Mon Jul 11 09:18:53 GMT 2022","Mon Jul 11 09:18:53 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[AfterSuite]",""
"skipped","Mon Jul 11 09:08:53 GMT 2022","Mon Jul 11 09:08:53 GMT 2022","260","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"skipped","Mon Jul 11 09:08:53 GMT 2022","Mon Jul 11 09:08:53 GMT 2022","261","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"passed","Mon Jul 11 09:18:53 GMT 2022","Mon Jul 11 09:19:30 GMT 2022","37404","","Operator Suite EE","","Operator Suite EE","","[SynchronizedBeforeSuite]",""
"passed","Mon Jul 11 09:18:53 GMT 2022","Mon Jul 11 09:19:56 GMT 2022","63766","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"passed","Mon Jul 11 09:18:53 GMT 2022","Mon Jul 11 09:19:30 GMT 2022","37589","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
