"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 10 09:11:29 GMT 2022","Sun Jul 10 09:11:55 GMT 2022","26615","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"skipped","Sun Jul 10 09:11:29 GMT 2022","Sun Jul 10 09:11:29 GMT 2022","301","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"passed","Sun Jul 10 09:11:29 GMT 2022","Sun Jul 10 09:11:59 GMT 2022","30767","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"passed","Sun Jul 10 09:11:36 GMT 2022","Sun Jul 10 09:12:59 GMT 2022","83739","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Sun Jul 10 09:11:36 GMT 2022","Sun Jul 10 09:12:13 GMT 2022","37355","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"skipped","Sun Jul 10 09:11:29 GMT 2022","Sun Jul 10 09:11:29 GMT 2022","306","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Sun Jul 10 09:11:29 GMT 2022","Sun Jul 10 09:12:03 GMT 2022","34213","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"skipped","Sun Jul 10 09:11:29 GMT 2022","Sun Jul 10 09:11:29 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Sun Jul 10 09:11:36 GMT 2022","Sun Jul 10 09:11:40 GMT 2022","4518","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"passed","Sun Jul 10 09:11:29 GMT 2022","Sun Jul 10 09:12:09 GMT 2022","40398","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"passed","Sun Jul 10 09:11:36 GMT 2022","Sun Jul 10 09:11:52 GMT 2022","16095","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"skipped","Sun Jul 10 09:11:29 GMT 2022","Sun Jul 10 09:11:29 GMT 2022","303","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"skipped","Sun Jul 10 09:11:29 GMT 2022","Sun Jul 10 09:11:29 GMT 2022","200","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Sun Jul 10 09:11:36 GMT 2022","Sun Jul 10 09:12:10 GMT 2022","34735","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"passed","Sun Jul 10 09:11:36 GMT 2022","Sun Jul 10 09:12:23 GMT 2022","47101","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ ready members status [hz, slow]",""
