"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 09 09:10:53 GMT 2022","Sat Jul 09 09:15:58 GMT 2022","305234","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"skipped","Sat Jul 09 09:10:59 GMT 2022","Sat Jul 09 09:10:59 GMT 2022","184","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"passed","Sat Jul 09 09:10:53 GMT 2022","Sat Jul 09 09:11:31 GMT 2022","38682","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Sat Jul 09 09:10:59 GMT 2022","Sat Jul 09 09:10:59 GMT 2022","193","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"passed","Sat Jul 09 09:10:53 GMT 2022","Sat Jul 09 09:11:53 GMT 2022","60945","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ ready members status [hz, slow]",""
"passed","Sat Jul 09 09:10:59 GMT 2022","Sat Jul 09 09:11:32 GMT 2022","33282","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"passed","Sat Jul 09 09:10:59 GMT 2022","Sat Jul 09 09:11:34 GMT 2022","35688","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"failed","Sat Jul 09 09:10:53 GMT 2022","Sat Jul 09 09:20:38 GMT 2022","585807","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"skipped","Sat Jul 09 09:10:59 GMT 2022","Sat Jul 09 09:10:59 GMT 2022","195","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"failed","Sat Jul 09 09:10:59 GMT 2022","Sat Jul 09 09:12:13 GMT 2022","74139","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast member status should update HZ ready members status [hz, slow]",""
"passed","Sat Jul 09 09:10:59 GMT 2022","Sat Jul 09 09:11:03 GMT 2022","4398","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"skipped","Sat Jul 09 09:10:59 GMT 2022","Sat Jul 09 09:10:59 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Sat Jul 09 09:10:53 GMT 2022","Sat Jul 09 09:12:51 GMT 2022","118360","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"passed","Sat Jul 09 09:10:53 GMT 2022","Sat Jul 09 09:11:20 GMT 2022","27479","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"skipped","Sat Jul 09 09:10:59 GMT 2022","Sat Jul 09 09:10:59 GMT 2022","190","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"skipped","Sat Jul 09 09:10:59 GMT 2022","Sat Jul 09 09:10:59 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"passed","Sat Jul 09 09:10:53 GMT 2022","Sat Jul 09 09:11:23 GMT 2022","30485","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"passed","Sat Jul 09 09:10:53 GMT 2022","Sat Jul 09 09:11:15 GMT 2022","22500","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"skipped","Sat Jul 09 09:10:59 GMT 2022","Sat Jul 09 09:10:59 GMT 2022","183","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"passed","Sat Jul 09 09:10:59 GMT 2022","Sat Jul 09 09:11:02 GMT 2022","3234","","Operator Suite OS","","Operator Suite OS","","[SynchronizedBeforeSuite]",""
"passed","Sat Jul 09 09:10:59 GMT 2022","Sat Jul 09 09:11:30 GMT 2022","31302","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"skipped","Sat Jul 09 09:10:53 GMT 2022","Sat Jul 09 09:10:53 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"passed","Sat Jul 09 09:10:53 GMT 2022","Sat Jul 09 09:11:43 GMT 2022","50130","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"skipped","Sat Jul 09 09:10:59 GMT 2022","Sat Jul 09 09:10:59 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"passed","Sat Jul 09 09:10:53 GMT 2022","Sat Jul 09 09:11:23 GMT 2022","30603","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"passed","Sat Jul 09 09:10:59 GMT 2022","Sat Jul 09 09:11:27 GMT 2022","28200","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
