"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 08 15:42:34 GMT 2022","Fri Jul 08 15:47:41 GMT 2022","307713","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"passed","Fri Jul 08 15:42:09 GMT 2022","Fri Jul 08 15:44:05 GMT 2022","116678","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Fri Jul 08 15:42:34 GMT 2022","Fri Jul 08 15:43:43 GMT 2022","69953","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"passed","Fri Jul 08 15:42:34 GMT 2022","Fri Jul 08 15:44:27 GMT 2022","113488","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"passed","Fri Jul 08 15:42:09 GMT 2022","Fri Jul 08 15:42:16 GMT 2022","7632","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"skipped","Fri Jul 08 15:42:34 GMT 2022","Fri Jul 08 15:42:34 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"skipped","Fri Jul 08 15:42:09 GMT 2022","Fri Jul 08 15:42:09 GMT 2022","736","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"skipped","Fri Jul 08 15:42:34 GMT 2022","Fri Jul 08 15:42:34 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"passed","Fri Jul 08 15:42:34 GMT 2022","Fri Jul 08 15:46:05 GMT 2022","211053","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"passed","Fri Jul 08 15:42:34 GMT 2022","Fri Jul 08 15:43:04 GMT 2022","30778","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"passed","Fri Jul 08 15:42:34 GMT 2022","Fri Jul 08 15:42:34 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[AfterSuite]",""
"passed","Fri Jul 08 15:42:34 GMT 2022","Fri Jul 08 15:44:06 GMT 2022","92609","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Fri Jul 08 15:42:09 GMT 2022","Fri Jul 08 15:42:57 GMT 2022","48589","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
"skipped","Fri Jul 08 15:42:09 GMT 2022","Fri Jul 08 15:42:09 GMT 2022","737","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"passed","Fri Jul 08 15:42:34 GMT 2022","Fri Jul 08 15:43:17 GMT 2022","43270","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"passed","Fri Jul 08 15:42:09 GMT 2022","Fri Jul 08 15:42:48 GMT 2022","39652","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"passed","Fri Jul 08 15:42:09 GMT 2022","Fri Jul 08 15:43:01 GMT 2022","52765","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"passed","Fri Jul 08 15:42:34 GMT 2022","Fri Jul 08 15:43:49 GMT 2022","75602","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Fri Jul 08 15:42:34 GMT 2022","Fri Jul 08 15:42:34 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"skipped","Fri Jul 08 15:42:09 GMT 2022","Fri Jul 08 15:42:09 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"passed","Fri Jul 08 15:42:34 GMT 2022","Fri Jul 08 15:43:09 GMT 2022","35163","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should fail when persistence of Map CR and Hazelcast CR do not match [map_persistence, fast]",""
"passed","Fri Jul 08 15:42:09 GMT 2022","Fri Jul 08 15:42:09 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[AfterSuite]",""
"passed","Fri Jul 08 15:42:34 GMT 2022","Fri Jul 08 15:44:05 GMT 2022","91103","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"passed","Fri Jul 08 15:42:34 GMT 2022","Fri Jul 08 15:43:26 GMT 2022","52121","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Fri Jul 08 15:42:34 GMT 2022","Fri Jul 08 15:44:27 GMT 2022","113891","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Fri Jul 08 15:42:09 GMT 2022","Fri Jul 08 15:42:30 GMT 2022","21266","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"passed","Fri Jul 08 15:42:34 GMT 2022","Fri Jul 08 15:44:11 GMT 2022","97773","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"passed","Fri Jul 08 15:42:34 GMT 2022","Fri Jul 08 15:42:43 GMT 2022","9309","","Operator Suite EE","","Operator Suite EE","","[SynchronizedBeforeSuite]",""
"passed","Fri Jul 08 15:42:09 GMT 2022","Fri Jul 08 15:43:01 GMT 2022","52260","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
