"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jul 09 09:11:45 GMT 2022","Sat Jul 09 09:19:46 GMT 2022","481151","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"passed","Sat Jul 09 09:11:45 GMT 2022","Sat Jul 09 09:12:31 GMT 2022","46940","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"passed","Sat Jul 09 09:11:43 GMT 2022","Sat Jul 09 09:12:44 GMT 2022","61617","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Sat Jul 09 09:11:43 GMT 2022","Sat Jul 09 09:12:39 GMT 2022","56621","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"skipped","Sat Jul 09 09:11:45 GMT 2022","Sat Jul 09 09:19:45 GMT 2022","480717","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"passed","Sat Jul 09 09:11:45 GMT 2022","Sat Jul 09 09:12:16 GMT 2022","31000","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"failed","Sat Jul 09 09:11:43 GMT 2022","Sat Jul 09 09:18:29 GMT 2022","406837","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"skipped","Sat Jul 09 09:11:45 GMT 2022","Sat Jul 09 09:19:46 GMT 2022","481314","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"passed","Sat Jul 09 09:11:43 GMT 2022","Sat Jul 09 09:12:19 GMT 2022","36385","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"passed","Sat Jul 09 09:11:43 GMT 2022","Sat Jul 09 09:13:23 GMT 2022","100821","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"skipped","Sat Jul 09 09:11:45 GMT 2022","Sat Jul 09 09:11:45 GMT 2022","628","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Sat Jul 09 09:11:43 GMT 2022","Sat Jul 09 09:14:48 GMT 2022","185694","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"passed","Sat Jul 09 09:11:45 GMT 2022","Sat Jul 09 09:12:14 GMT 2022","29037","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"passed","Sat Jul 09 09:11:45 GMT 2022","Sat Jul 09 09:12:34 GMT 2022","49515","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"skipped","Sat Jul 09 09:11:45 GMT 2022","Sat Jul 09 09:19:46 GMT 2022","481191","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"passed","Sat Jul 09 09:11:43 GMT 2022","Sat Jul 09 09:13:06 GMT 2022","83947","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"passed","Sat Jul 09 09:11:45 GMT 2022","Sat Jul 09 09:13:00 GMT 2022","75995","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Sat Jul 09 09:11:45 GMT 2022","Sat Jul 09 09:11:45 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Sat Jul 09 09:11:43 GMT 2022","Sat Jul 09 09:12:34 GMT 2022","51207","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"passed","Sat Jul 09 09:11:45 GMT 2022","Sat Jul 09 09:12:19 GMT 2022","34678","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"passed","Sat Jul 09 09:11:43 GMT 2022","Sat Jul 09 09:13:10 GMT 2022","87835","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Sat Jul 09 09:11:43 GMT 2022","Sat Jul 09 09:11:51 GMT 2022","8253","","Operator Suite EE","","Operator Suite EE","","[SynchronizedBeforeSuite]",""
"passed","Sat Jul 09 09:11:43 GMT 2022","Sat Jul 09 09:13:07 GMT 2022","84088","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
