"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jul 08 09:23:44 GMT 2022","Fri Jul 08 09:23:44 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"passed","Fri Jul 08 09:23:44 GMT 2022","Fri Jul 08 09:23:44 GMT 2022","0","","Controller Suite","","Controller Suite","","[AfterSuite]",""
"passed","Fri Jul 08 09:23:44 GMT 2022","Fri Jul 08 09:24:49 GMT 2022","65344","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Fri Jul 08 09:23:44 GMT 2022","Fri Jul 08 09:24:11 GMT 2022","27383","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"passed","Fri Jul 08 09:23:44 GMT 2022","Fri Jul 08 09:24:11 GMT 2022","27320","","Controller Suite","","Controller Suite","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"skipped","Fri Jul 08 09:23:44 GMT 2022","Fri Jul 08 09:31:44 GMT 2022","480049","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"passed","Fri Jul 08 09:23:44 GMT 2022","Fri Jul 08 09:24:06 GMT 2022","22480","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"passed","Fri Jul 08 09:23:44 GMT 2022","Fri Jul 08 09:24:07 GMT 2022","23284","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"skipped","Fri Jul 08 09:23:44 GMT 2022","Fri Jul 08 09:31:44 GMT 2022","480093","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"passed","Fri Jul 08 09:23:44 GMT 2022","Fri Jul 08 09:25:15 GMT 2022","91166","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Fri Jul 08 09:23:44 GMT 2022","Fri Jul 08 09:24:37 GMT 2022","53658","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
