"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:57:19 GMT 2022","205","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"skipped","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:57:19 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:57:39 GMT 2022","30489","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:58:34 GMT 2022","85384","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:57:39 GMT 2022","30572","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ ready members status [hz, slow]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:58:33 GMT 2022","84043","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:57:43 GMT 2022","34765","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"passed","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:57:51 GMT 2022","32684","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:59:46 GMT 2022","157888","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:59:25 GMT 2022","126111","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:58:07 GMT 2022","58173","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:57:49 GMT 2022","40639","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"skipped","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:57:19 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"passed","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:58:13 GMT 2022","54095","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:57:24 GMT 2022","15309","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"passed","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:58:04 GMT 2022","45762","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"skipped","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:57:19 GMT 2022","234","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"skipped","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:57:09 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:57:13 GMT 2022","4128","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:57:43 GMT 2022","34670","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"failed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 13:05:05 GMT 2022","476743","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"passed","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:57:36 GMT 2022","17922","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should fail when persistence of Map CR and Hazelcast CR do not match [map_persistence, fast]",""
"passed","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:59:22 GMT 2022","123585","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:58:29 GMT 2022","70445","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:58:09 GMT 2022","60895","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"skipped","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:57:19 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"skipped","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:57:19 GMT 2022","208","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:57:32 GMT 2022","23430","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"skipped","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:57:19 GMT 2022","135","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:58:22 GMT 2022","63353","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"passed","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:57:41 GMT 2022","22372","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 13:01:26 GMT 2022","257515","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:57:36 GMT 2022","27561","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"skipped","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:57:09 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:57:09 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[AfterSuite]",""
"skipped","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:57:19 GMT 2022","196","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"skipped","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:57:09 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:57:32 GMT 2022","23489","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:57:30 GMT 2022","21401","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should fail when persistence of Map CR and Hazelcast CR do not match [map_persistence, fast]",""
"passed","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:57:23 GMT 2022","4343","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:57:36 GMT 2022","27470","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"skipped","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:57:19 GMT 2022","192","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:57:30 GMT 2022","21333","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"passed","Sat Jul 09 12:57:09 GMT 2022","Sat Jul 09 12:58:52 GMT 2022","103419","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"passed","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:57:51 GMT 2022","32344","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"passed","Sat Jul 09 12:57:19 GMT 2022","Sat Jul 09 12:57:51 GMT 2022","32465","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
