"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jul 13 09:13:06 GMT 2022","Wed Jul 13 09:13:06 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"passed","Wed Jul 13 09:16:14 GMT 2022","Wed Jul 13 09:16:20 GMT 2022","6866","","Operator Suite OS","","Operator Suite OS","","[SynchronizedBeforeSuite]",""
"passed","Wed Jul 13 09:16:14 GMT 2022","Wed Jul 13 09:17:38 GMT 2022","84430","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast member status should update HZ ready members status [hz, slow]",""
"skipped","Wed Jul 13 09:13:06 GMT 2022","Wed Jul 13 09:13:06 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"passed","Wed Jul 13 09:13:06 GMT 2022","Wed Jul 13 09:14:37 GMT 2022","91780","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"passed","Wed Jul 13 09:13:06 GMT 2022","Wed Jul 13 09:13:41 GMT 2022","35209","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should fail when persistence of Map CR and Hazelcast CR do not match [map_persistence, fast]",""
"skipped","Wed Jul 13 09:16:14 GMT 2022","Wed Jul 13 09:24:14 GMT 2022","480424","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"failed","Wed Jul 13 09:16:14 GMT 2022","Wed Jul 13 09:21:14 GMT 2022","300744","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Wed Jul 13 09:16:14 GMT 2022","Wed Jul 13 09:17:16 GMT 2022","62186","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"passed","Wed Jul 13 09:13:06 GMT 2022","Wed Jul 13 09:13:37 GMT 2022","31463","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"skipped","Wed Jul 13 09:16:14 GMT 2022","Wed Jul 13 09:16:14 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Wed Jul 13 09:13:06 GMT 2022","Wed Jul 13 09:14:30 GMT 2022","84206","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Wed Jul 13 09:13:06 GMT 2022","Wed Jul 13 09:14:22 GMT 2022","76160","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"passed","Wed Jul 13 09:16:14 GMT 2022","Wed Jul 13 09:17:30 GMT 2022","76678","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"skipped","Wed Jul 13 09:16:14 GMT 2022","Wed Jul 13 09:16:14 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"skipped","Wed Jul 13 09:16:14 GMT 2022","Wed Jul 13 09:24:14 GMT 2022","480743","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"passed","Wed Jul 13 09:16:14 GMT 2022","Wed Jul 13 09:16:55 GMT 2022","41252","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"passed","Wed Jul 13 09:13:06 GMT 2022","Wed Jul 13 09:16:38 GMT 2022","212086","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"skipped","Wed Jul 13 09:16:14 GMT 2022","Wed Jul 13 09:24:14 GMT 2022","480761","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"skipped","Wed Jul 13 09:16:14 GMT 2022","Wed Jul 13 09:16:14 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"passed","Wed Jul 13 09:13:06 GMT 2022","Wed Jul 13 09:13:43 GMT 2022","37845","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"passed","Wed Jul 13 09:16:14 GMT 2022","Wed Jul 13 09:16:35 GMT 2022","21363","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"passed","Wed Jul 13 09:13:06 GMT 2022","Wed Jul 13 09:18:04 GMT 2022","298435","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"passed","Wed Jul 13 09:16:14 GMT 2022","Wed Jul 13 09:16:14 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[AfterSuite]",""
"passed","Wed Jul 13 09:16:14 GMT 2022","Wed Jul 13 09:16:50 GMT 2022","36147","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"passed","Wed Jul 13 09:13:06 GMT 2022","Wed Jul 13 09:13:42 GMT 2022","36459","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"passed","Wed Jul 13 09:16:14 GMT 2022","Wed Jul 13 09:16:50 GMT 2022","36756","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"skipped","Wed Jul 13 09:16:14 GMT 2022","Wed Jul 13 09:24:14 GMT 2022","480618","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Wed Jul 13 09:13:06 GMT 2022","Wed Jul 13 09:13:45 GMT 2022","39046","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
