"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:35:42 GMT 2022","17868","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"passed","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:36:30 GMT 2022","65739","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ ready members status [hz, slow]",""
"passed","Tue Jul 12 09:34:09 GMT 2022","Tue Jul 12 09:37:35 GMT 2022","206601","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:37:07 GMT 2022","102560","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:35:55 GMT 2022","30155","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"passed","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:36:07 GMT 2022","42002","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
"passed","Tue Jul 12 09:34:09 GMT 2022","Tue Jul 12 09:34:33 GMT 2022","24517","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"skipped","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:35:25 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"passed","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:36:43 GMT 2022","78403","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:39:45 GMT 2022","260820","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"passed","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:36:47 GMT 2022","82576","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"skipped","Tue Jul 12 09:34:09 GMT 2022","Tue Jul 12 09:34:09 GMT 2022","69","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"passed","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:35:50 GMT 2022","25670","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"passed","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:35:49 GMT 2022","24595","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"passed","Tue Jul 12 09:34:09 GMT 2022","Tue Jul 12 09:34:12 GMT 2022","3973","","Operator Suite OS","","Operator Suite OS","","[SynchronizedBeforeSuite]",""
"skipped","Tue Jul 12 09:34:09 GMT 2022","Tue Jul 12 09:34:09 GMT 2022","71","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"skipped","Tue Jul 12 09:34:09 GMT 2022","Tue Jul 12 09:34:09 GMT 2022","82","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"skipped","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:35:25 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:37:59 GMT 2022","154083","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"passed","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:35:58 GMT 2022","33537","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"passed","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:35:46 GMT 2022","21094","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"passed","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:35:49 GMT 2022","24738","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"passed","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:36:15 GMT 2022","50735","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"passed","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:35:46 GMT 2022","21102","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"passed","Tue Jul 12 09:35:25 GMT 2022","Tue Jul 12 09:43:18 GMT 2022","473623","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"passed","Tue Jul 12 09:34:09 GMT 2022","Tue Jul 12 09:34:37 GMT 2022","28644","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"skipped","Tue Jul 12 09:34:09 GMT 2022","Tue Jul 12 09:34:09 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"skipped","Tue Jul 12 09:34:09 GMT 2022","Tue Jul 12 09:34:09 GMT 2022","69","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
